ID,ENG 1,ENG 2,PoS,ARA 1,ARA 2,CMN 1,CMN 2,CYM 1,CYM 2,EST 1,EST 2,FIN 1,FIN 2,FRA 1,FRA 2,HEB 1,HEB 2,POL 1,POL 2,RUS 1,RUS 2,SPA 1,SPA 2,SWA 1,SWA 2,YUE 1,YUE 2,scores 1,scores 2,translation 1,translation 2
789,molecule,air,nouns,مركّب,هواء,分子,空气,moleciwl,aer,molekul,õhk,molekyyli,ilma,molécule,air,מולקולה,אוויר,cząsteczka,powietrze,молекула,воздух,molécula,aire,molekuli,hewa,分子,空氣,molecule,air,molecule,air
790,man,warrior,nouns,رجل,محارب,男人,武士,dyn,rhyfelwr,mees,sõjamees,mies,soturi,homme,guerrier,גבר,לוחם,mężczyzna,wojownik,мужчина,воин,hombre,guerrero,mwanaume,mpiganaji,男人,武士,man,warrior,man,warrior
791,oat,field,nouns,شوفان,حقل,燕麦,田,ceirchen,cae,kaer,põld,kaura,pelto,avoine,champ,שיבולת שועל,שדה,owies,pole,овёс,поле,avena,campo,uwanja,ngano,燕麥,田,oat,field,oat,field
792,overcast,forecast,nouns,مغيّم,توقعات,灰濛蒙,预测,cymylog,rhagolwg,pilvkate,prognoos,pilvinen sää,ennuste,révision,prévision,מעונן,תחזית,zachmurzenie,prognoza,облачность,прогноз,nublado,pronóstico,utabiri,kivuli cha mawingu,灰濛蒙,預測,overcast,forecast,overcast,forecast
793,sandwich,lunch,nouns,شطيرة,غداء,三文治,午饭,brechdan,cinio,võileib,lõuna,voileipä,lounas,sandwich,déjeuner,כריך,ארוחה,kanapka,obiad,бутерброд,обед,Sandwich,almuerzo,ugali,chakula cha mchana,三文治,午飯,sandwich,lunch,sandwich,lunch
794,caliber,umbrella,nouns,قالب,مظلّة,品质,伞,calibr,ymbarél,kaliiber,vihmavari,kaliiperi,sateenvarjo,calibre,parapluie,קליבר,מטרייה,kaliber,parasol,калибр,зонтик,calibre,paraguas,mwavuli,kaliba,品質,遮,caliber,umbrella,caliber,umbrella
795,couch,baseball,nouns,أريكة,كرة القاعدة,沙发,棒球,soffa,pêl-fas,diivan,pesapall,valmentaja,pesäpallo,canapé,baseball,ספה,בייסבול,kanapa,baseball,кушетка,бейсбол,sofá,béisbol,kochi,baseball,沙發,棒球,couch,baseball,couch,baseball
796,anger,mood,nouns,غضب,مزاج,愤怒,心情,dicter,hwyliau,viha,tuju,viha,tila,colère,humeur,כעס,מצב,gniew,nastrój,злость,настроение,enfado,estado animico,hasira,hali,憤怒,心情,anger,mood,anger,mood
797,cup,cone,nouns,كوب,كوز,杯子,锥形蛋筒,cwpan,côn,tass,torbik,kuppi,kartio,tasse,cône,גביע,קונוס,filiżanka,rożek,стакан,рожок,vaso,cono,kikombe,koni,杯子,錐形蛋筒,cup,cone,cup,cone
798,afterworld,purgatory,nouns,الآخرة,المطهر,后世,炼狱,bywyd wedi marwolaeth,purdan,teispoolsus,puhastustuli,tuonpuoleinen,kiirastuli,au-delà,purgatoire,העולם הבא,גיהנום,zaświaty,czyściec,загробный мир,чистилище,más allá,purgatorio,purigatori,kuzimu,後世,煉獄,afterworld,purgatory,afterworld,purgatory
799,moon,planet,nouns,قمر,كوكب,月亮,行星,lleuad,planed,kuu,planeet,kuu,planeetta,lune,planète,ירח,פלנטה,księżyc,planeta,луна,планета,Luna,planeta,mwezi,sayari,月亮,行星,moon,planet,moon,planet
800,door,doorway,nouns,باب,مدخل,门,门口,drws,porth,uks,ukseava,ovi,oviaukko,porte,ouverture,דלת,כניסה,drzwi,otwór drzwiowy,дверь,проем,puerta,portal,mlango,mlangoni,門,門口,door,doorway,door,doorway
801,beauty,age,nouns,جمال,عمر,美人,年龄,harddwch,oedran,ilu,iga,kauneus,ikä,beauté,âge,יופי,גיל,piękno,wiek,красота,возраст,belleza,años,urembo,umri,美人,年齡,beauty,age,beauty,age
802,car,horn,nouns,سيارة,زامور,车,喇叭,car,corn,auto,autopasun,auto,sarvi,voiture,klaxon,מכונית,צופר,samochód,klakson,автомобиль,гудок,coche,cuerno,gari,honi,車,喇叭,car,horn,car,horn
803,box,elevator,nouns,صندوق,مصعد,盒子,电梯,blwch,lifft,kast,lift,laatikko,hissi,cabine,ascenseur,תיבה,מעלית,pudełko,winda,коробка,лифт,caja,ascensor,sanduku,lifti,盒子,電梯,box,elevator,box,elevator
804,victory,triumph,nouns,فوز,انتصار,胜利,凯旋,buddugoliaeth,goruchafiath,võit,triumf,voitto,riemuvoitto,victoire,triomphe,ניצחון,הצלחה,zwycięstwo,triumf,победа,триумф,victoria,triunfo,ushindi,fora,勝利,凱旋,victory,triumph,victory,triumph
805,viscosity,splash,nouns,لزوجة,رش,粘性,溅,gludedd,sblash,sisehõõrdumine,plärtsatus,viskositeetti,loiske,viscosité,éclaboussure,צמיגות,התזה,lepkość,plusk,вязкость,всплеск,viscosidad,chapoteo,chubwi,mnato,粘性,濺,viscosity,splash,viscosity,splash
806,way,manner,nouns,أسلوب,نمط,方法,方式,ffordd,modd,tee,laad,tapa,käytös,façon,manière,דרך,אופן,droga,sposób,привычка,манера,camino,manera,njia,namna,方法,方式,way,manner,way,manner
807,chaos,class,nouns,فوضى,صف,混乱,类别,anhrefn,dosbarth,kaos,klass,kaaos,luokka,chaos,classe,כאוס,שיעור,chaos,lekcja,беспорядок,урок,caos,clase,darasa,vurugu,混亂,類別,chaos,class,chaos,class
808,bubble,suds,nouns,فقاعة,رغوة,泡,肥皂泡沫,swigen,trochion,mull,seebivaht,kupla,saippuavaahto,bulle,mousse,בועה,קצף,bańka,mydliny,пузырь,пена,burbuja,jabonaduras,puto,mapovu,泡,肥皂泡沫,bubble,suds,bubble,suds
809,bronchitis,acetaminophen,nouns,التهاب القصبات,أسيتامينوفين,支气管炎,对乙酰氨基酚,bronceitus,parasetamol,bronhiit,paratsetamol,keuhkoputkentulendus,parasetamoli,bronchite,paracétamol,ברונכיטיס,פרצטמול,bronchit,acetaminofen,бронхит,ацетаминофен,bronquitis,acetaminofeno,acetaminopheni,ugonja wa bronchitis,支氣管炎,對乙酰氨基酚,bronchitis,acetaminophen,bronchitis,acetaminophen
810,credit,borrower,nouns,ائتمان ,مستعير,信用,借款人,credyd,benthyciwr,krediit,laenaja,luotto,lainaaja,crédit,emprunteur,אשראי,לווה,kredyt,pożyczkobiorca,кредит,заёмщик,crédito,prestatario,mkopi,mkopo,信用,借款人,credit,borrower,credit,borrower
811,ball,costume,nouns,كرة,زي,球,服装,pêl,gwisg,ball,kostüüm,pallo,asu,bal,costume,כדור,תחפושת,bal,kostium,бал,костюм,pelota,disfraz,sherehe,mavazi,球,服裝,ball,costume,ball,costume
812,butter,potato,nouns,زبدة,بطاطس,牛油,土豆,menyn,tatws,või,kartul,voi,peruna,beurre,pomme de terre,חמאה,תפוד,masło,ziemniak,масло,картофель,mantequilla,patata,siagi,kiazi,牛油,土豆,butter,potato,butter,potato
813,neurosis,mind,nouns,إضطراب عصبي,عقل,神经官能症,头脑,niwrosis,meddwl,neuroos,meel,neuroosi,mieli,névrose,esprit,נוירוזה,נפש,neuroza,umysł,невроз,разум,neurosis,mente,akili,ugonjwa wa neurosis,神經官能症,頭腦,neurosis,mind,neurosis,mind
814,taxi,cab,nouns,سيارة اجرة,سيارة اجرة,出租车,出租车,tacsi,cab,takso,uber,taksi,taksiauto,taxi,tacot,טקסי,מונית,taxi,taksówka,такси,таксомотор,taxi,coche,motokaa,teksi,的士,的士,taxi,cab,taxi,cab
815,acid,base,nouns,حامض,قاعدة ,酸,碱,asid,sylfaen,hape,alus,happo,pohja,acide,base,חומצה,בסיס,kwas,baza,кислота,основание,ácido,base,besi,asidi,酸,鹼,acid,base,acid,base
816,formula,equation,nouns,صيغة,معادلة,公式,等式,fformiwla,hafaliad,valem,võrrand,kaava,yhtälö,formule,équation,נוסחה,משוואה,formuła,równanie,формула,уравнение,fórmula,ecuación,kanuni,mlinganyo,公式,等式,formula,equation,formula,equation
817,insect,bee,nouns,حشرة,نحلة,昆虫,蜜蜂,pry,gwenynen,putukas,mesilane,hyönteinen,mehiläinen,insecte,abeille,חרק,דבורה,insekt,pszczoła,насекомое,пчела,insecto,abeja,mdudu,nyuki,昆蟲,蜜蜂,insect,bee,insect,bee
818,horse,ox,nouns,حصان,ثور,马,牛,ceffyl,bustach,hobune,härg,hevonen,härkä,cheval,boeuf,סוס,שור,koń,wół,конь,бык,caballo,buey,farasi,ng'ombe dume,馬,牛,horse,ox,horse,ox
819,men,fraternity,nouns,رجال,أخوية,男人,兄弟会,dynion,brawdgarwch,mehed,korporatsioon,miehet,veljeskunta,homme,fraternité,גברים,אחוה,mężczyźni,braterstwo,мужчины,братство,hombres,fraternidad,wanaume,undugu,男人,兄弟會,men,fraternity,men,fraternity
820,chocolate,pie,nouns,شوكولاتة,فطيرة,巧克力,派,siocled,pastai,šokolaad,pirukas,suklaa,piirakka,chocolat,tarte,שוקולד,פאי,czekolada,placek,шоколад,пирог,chocolate,tarta,chokoleti,keki,巧克力,派,chocolate,pie,chocolate,pie
821,world,globe,nouns,عالم,كره ارضيه,世界,地球,byd,glob,maailm,maakera,maailma,maapallo,monde,globe,עולם,גלובוס,świat,glob,мир,земля,mundo,globo,dunia,ulimwengu,世界,地球,world,globe,world,globe
822,arm,bone,nouns,ذراع,عظم,手臂,骨头,braich,asgwrn,käsi,luu,käsivarsi,luu,bras,os,זרוע,עצם,ramię,kość,рука,кость,brazo,hueso,mkono,mfupa,手臂,骨頭,arm,bone,arm,bone
823,cinnamon,candy,nouns,قرفة,حلويات,肉桂,糖果,sinamon,losin,kaneel,komm,kaneli,makeinen,cannelle,bonbon,קינמון,ממתק,cynamon,cukierek,корица,конфеты,canela,caramelo,peremende,mdalasini,肉桂,糖果,cinnamon,candy,cinnamon,candy
824,belief,impression,nouns,ايمان,انطباع,信念,印象,cred,argraff,uskumus,mulje,uskomus,vaikutelma,croyance,impression,אמונה,רושם,przekonanie,wrażenie,мнение,впечатление,creencia,impresión,imani,ono,信念,印象,belief,impression,belief,impression
825,snake,lizard,nouns,أفعى,سحليّة,蛇,蜥蜴,neidr,madfall,madu,sisalik,käärme,lisko,serpent,lézard,נחש,לטאה,wąż ,jaszczurka,змея,ящерица,serpiente,lagartija,mjusi,nyoka,蛇,蜥蜴,snake,lizard,snake,lizard
826,destruction,construction,nouns,تدمير,بناء,毁灭,建造,dinistr,adeiladwaith,purustamine,ehitamine,tuho,rakentaminen,destruction,construction,הרס,בנייה,destrukcja,konstrukcja,разрушение,построение,destrucción,construcción,uharibifu,ujenzi,毀滅,建造,destruction,construction,destruction,construction
827,meat,bread,nouns,لحم,خبز,肉,面包,cig,bara,liha,leib,liha,leipä,viande,pain,בשר,לחם,mięso,chleb,мясо,хлеб,carne,pan,nyama,mkate,肉,麵包,meat,bread,meat,bread
828,dictionary,definition,nouns,قاموس,تعريف,字典,定义,geiriadur,diffiniad,sõnaraamat,definitisioon,sanakirja,määritelmä,dictionnaire,définition,מילון,הגדרה,słownik,definicja,словарь,толкование,diccionario,definición,kamusi,namna,字典,定義,dictionary,definition,dictionary,definition
829,helper,maid,nouns,مساعد,خادمة,帮手,女仆,cynorthwy-ydd,morwyn,abiline,teenijanna,auttaja,palvelustyttö,auxiliaire,servante,סייעת,עוזרת,pomocnik,pokojówka,помощница,служанка,ayudante,mucama,msaidizi,mfanyakazi wa nyumbani,幫手,女僕,helper,maid,helper,maid
830,fee,payment,nouns,رسوم,دفع,费用,付款,tâl,taliad,tasu,makse,maksu,korvaus,frais,paiement,עמלה,תשלום,opłata,płatność,гонорар,платеж,cuota,pago,ada,malipo,費用,付款,fee,payment,fee,payment
831,beach,sea,nouns,شاطئ,بحر,海滩,海,traeth,môr,rand,meri,ranta,meri,plage,mer,חוף,ים,plaża,morze,пляж,море,playa,mar,ufuko,bahari,海灘,海,beach,sea,beach,sea
832,boat,tree,nouns,قارب,شجرة,船,树,cwch,coeden,paat,puur,vene,puu,bateau,arbre,סירה,עץ,łódź,drzewo,лодка,дерево,bote,árbol,mti,meli,船,樹,boat,tree,boat,tree
833,ray,sunshine,nouns,اشعّة,سطوع الشمس,射线,阳光,pelydr,heulwen,kiir,päikesepaiste,säde,auringonpaiste,rayon,soleil,קרן,שמש,promień,światło słoneczne,луч,солнце,rayo,sol,mwali,mwanga wa jua,射線,陽光,ray,sunshine,ray,sunshine
834,cherry,strawberry,nouns,كرز,توت,樱桃,草莓,ceirios,mefus,kirss,maasikas,kirsikka,mansikka,cerise,fraise,דובדבן,תות,wiśnia,truskawka,вишня,клубника,Cereza,fresa,strouberi,cheri,櫻桃,士多啤梨,cherry,strawberry,cherry,strawberry
835,poem,rhythm,nouns,شعر,ايقاع,诗,韵律,cerdd,rhythm,luuletus,rütm,runo,rytmi,poème,rythme,שיר,מקצב,wiersz,rytm,стих,ритм,poema,ritmo,mahadhi,shairi,詩,韻律,poem,rhythm,poem,rhythm
836,lady,gentleman,nouns,سيدة,سيد,女士,先生,gwraig,gŵr bonheddig,leedi,härrasmees,leidi,herra,madame,monsieur,גברת,ג'נטלמן,dama,dżentelmen,госпожа,господин,dama,Hidalgo,bibi,bwana,女士,先生,lady,gentleman,lady,gentleman
837,yard,inch,nouns,ياردة,بوصة,码,英寸,iard,modfedd,jard,toll,jaardi,tuuma,mètre,centimètre,יארד,אינץ',jard,cal,ярд,дюйм,patio,pulgada,yadi,inchi,碼,英寸,yard,inch,yard,inch
838,activity,movement,nouns,نشاط,حركة,活动,运动,gweithgaredd,symudiad,tegevus,liikumine,aktiviteetti,liike,activité,mouvement,פעילות,תנועה,aktywność,ruch,действие,движение,actividad,movimiento,shuguli,mwendo,活動,運動,activity,movement,activity,movement
839,people,gun,nouns,أشخاص,مسدّس,人,枪,pobl,gwn,rahvas,relv,ihmiset,ase,gens,pistolet,אנשים,אקדח,ludzie,pistolet,народ,ружье,gente,pistola,watu,bunduki,人,槍,people,gun,people,gun
840,bone,knee,nouns,عظم,ركبة,骨头,膝盖,asgwrn,pen-glin,luu,põlv,luu,polvi,os,genou,עצם,ברך,kość,kolano,кость,колено,hueso,rodilla,mfupa,goti,骨頭,膝蓋,bone,knee,bone,knee
841,window,door,nouns,شبّاك,باب,窗,门,ffenestr,drws,aken,uks,ikkuna,ovi,fenêtre,porte,חלון,דלת,okno,drzwi,окно,дверь,ventana,puerta,dirisha,mlango,窗,門,window,door,window,door
842,arm,body,nouns,ذراع,جسم,手臂,身体,braich,corff,käsi,keha,käsivarsi,vartalo,bras,corps,זרוע,גוף,ramię,ciało,рука,тело,brazo,cuerpo,mkono,mwili,手臂,身體,arm,body,arm,body
843,winter,season,nouns,الشتاء,فصل,冬天,季节,gaeaf,tymor,talv,aastaeg,talvi,kausi,hiver,saison,חורף,עונה,zima,pora roku,зима,сезон,invierno,temporada,msimu wa baridi,msimu,冬天,季節,winter,season,winter,season
844,key,lock,nouns,مفتاح,قفل,钥匙,锁,allwedd,clo,võti,lukk,avain,lukko,clé,verrou,מפתח,מנעול,klucz,zamek,ключ,замок,llave,candado,kufuli,funguo,鎖匙,鎖,key,lock,key,lock
845,king,ruler,nouns,ملك,حاكم,国王,统治者,brenin,pren mesur,kuningas,valitseja,kuningas,hallitsija,roi,dirigeant,מלך,שליט,król,władca,король,правитель,Rey,regla,mtawala,mfalme,國王,統治者,king,ruler,king,ruler
846,earthquake,tremor,nouns,زلزال,هزة أرضية,地震,震,daeargryn,cryndod,maavärin,vappumine,maanjäristys,vapina,tremblement de terre,secousse,רעידת אדמה,רעד,trzęsienie ziemi,wstrząs,землетрясение,тремор,terremoto,temblor,kutetemeka,tetemeko la ardhi,地震,震,earthquake,tremor,earthquake,tremor
847,groom,bride,nouns,عريس,عروس,新郎,新娘,priodfab,priodferch,peigmees,pruut,sulhanen,morsian,marié,mariée,חתן,כלה,pan młody,panna młoda,жених,невеста,novio,novia,bwana arusi,bibi arusi,新郎,新娘,groom,bride,groom,bride
848,neck,spine,nouns,عنق,عامود الفقري,脖子,脊柱,gwddf,asgwrn cefn,kael,selgroog,niska,selkäranka,cou,colonne vertébrale,צוואר,גב,szyja,kręgosłup,шея,позвоночник,cuello,espina,shingo,uti,頸,脊柱,neck,spine,neck,spine
849,friend,buddy,nouns,صديق,زميل,朋友,伙伴,ffrind,cyfaill,sõber,semu,ystävä,kaveri,ami,copain,ידיד,חבר,przyjaciel,kumpel,друг,приятель,amigo,compañero,rafiki,ndugu,朋友,夥伴,friend,buddy,friend,buddy
850,alloy,steel,nouns,سبيكة,فلاذ,合金,钢,aloi,dur,sulam,teras,metalliseos,teräs,alliage,acier,סגסוגת,פלדה,stop ,stal,сплав,сталь,aleación,acero,feleji,aloyi,合金,鋼,alloy,steel,alloy,steel
851,birthday,year,nouns,عيد ميلاد,سنة,生日,年,pen-blwydd,blwyddyn,sünnipäev,aasta,syntymäpäivä,vuosi,anniversaire,année,יום הולדת,שנה,urodziny,rok,юбилей,год,cumpleaños,año,siku ya kuzaliwa,mwaka,生日,年,birthday,year,birthday,year
852,guy,partner,nouns,شاب,شريك,家伙,伙伴,dyn,partner,kutt,partner,heppu,partneri,type,partenaire,בחור,שותף,facet,partner,парень,товарищ,chico,pareja,mvulana,patna,傢伙,夥伴,guy,partner,guy,partner
853,boy,partner,nouns,صبي,شريك,男孩,合作伙伴,bachgen,partner,poiss,partner,poika,partneri,garçon,partenaire,ילד,שותף,chłopiec,partner,мальчик,партнер,niño,pareja,mvulana,patna,男孩,合作夥伴,boy,partner,boy,partner
854,ring,engagement,nouns,خاتم,خطوبة,戒指,订婚,modrwy,dyweddïad,sõrmus,kihlus,sormus,sitoumus,bague,fiançailles,טבעת,אירוסין,pierścień,zaręczyny,кольцо,помолвка,anillo,compromiso,uchumba,pete,戒指,訂婚,ring,engagement,ring,engagement
855,newspaper,information,nouns,جريدة,معلومات,报纸,资料,papur newydd,gwybodaeth,ajaleht,informatsioon,sanomalehti,tieto,journal,information,עיתון,מידע,gazeta,informacja,газета,информация,periódico,información,gazeti,taarifa,報紙,資料,newspaper,information,newspaper,information
856,people,party,nouns,أشخاص,حفلة,人们,派对,pobl,parti,rahvas,pidu,ihmiset,juhla,gens,fête,אנשים,מסיבה,ludzie,przyjęcie,электорат,партия,gente,partido,watu,sherehe,人們,派對,people,party,people,party
857,body,shoulder,nouns,جسم,كتف,身体,肩,corff,ysgwydd,keha,õlg,vartalo,olkapää,corps,épaule,גוף,כתף,ciało,bark,тело,плечо,cuerpo,hombro,mwili,bega,身體,肩,body,shoulder,body,shoulder
858,corporation,business,nouns,شركة,عمل,公司,企业,corfforaeth,busnes,ühing,äri,yhtiö,liiketoiminta,société,affaire,תאגיד,עסק,korporacja,biznes,корпорация,предприятие,sociedad,negocio,ushirika,biashara,公司,企業,corporation,business,corporation,business
859,polyhedron,actor,nouns,مجسم متعدد السطوح,ممثل,多面体,演员,polyhedron,actor,hulktahukas,näitleja,monitahokas,näyttelijä,polyèdre,acteur,פאון,שחקן,wielościan,aktor,многогранник,актер,poliedro,actor,mwigaji,pembe zaidi ya sita,多面體,演員,polyhedron,actor,polyhedron,actor
860,cloud,storm,nouns,غيمة,عاصفة,云,风暴,cwmwl,storm,pilv,torm,pilvi,myrsky,nuage,tempête,ענן,סערה,chmura,burza,туча,буря,nube,tormenta,wingu,dhoruba,雲,風暴,cloud,storm,cloud,storm
861,mud,dirt,nouns,طين,تراب,泥,泥土,mwd,baw,muda,muld,muta,lika,boue,saleté,בוץ,לכלוך,błoto,bród,слякоть,грязь,barro,suciedad,matope,uchafu,泥,泥土,mud,dirt,mud,dirt
862,word,newspaper,nouns,كلمة,جريدة,字,报纸,gair,papur newydd,sõna,ajaleht,sana,sanomalehti,mot,journal,מילה,עיתון,słowo,gazeta,известие,газета,palabra,periódico,neno,gazeti,字,報紙,word,newspaper,word,newspaper
863,condition,boy,nouns,حالة,صبي,状态,男孩,cyflwr,bachgen,seisund,poiss,kunto,poika,condition,garçon,מצב,ילד,warunek,chłopiec,состояние,мальчик,condición,niño,mazingira,mvulana,狀態,男孩,condition,boy,condition,boy
864,rock,mine,nouns,صخرة,منجم,岩石,矿,craig,glofa,kalju,miin,kallio,kaivos,pierre,mine,סלע,מכרה,skała,kopalnia,камень,мина,rock,mía,machimbo,mwamba,岩石,礦,rock,mine,rock,mine
865,town,city,nouns,بلدة,مدينة,城镇,城市,tref,dinas,väikelinn,suurlinn,kaupunki,suurkaupunki,ville,municipalité,עיירה,עיר,miasteczko,miasto,городок,город,pueblo,ciudad,jiji,mji,城鎮,城市,town,city,town,city
866,abundance,plenty,nouns,وفرة,كثرة,丰富,许多,digonedd,digon,küllus,paljusus,yltäkylläisyys,runsaus,abondance,profusion,גודש,שפע,obfitość,mnóstwo,изобилие,множество,abundancia,mucho,wingi,ziada,豐富,許多,abundance,plenty,abundance,plenty
867,campaign,monkey,nouns,حملة,قرد,参加竞选,猴子,ymgyrch,mwnci,kampaania,ahv,kampanja,apina,campagne,singe,קמפיין,קוף,kampania,małpa,кампания,обезьяна,Campaña,mono,nyani,kampeni,参加競選,猴子,campaign,monkey,campaign,monkey
868,editorial,news,nouns,مقال افتتاحي,أخبار,社论,新闻,golygyddol,newyddion,juhtkiri,uudised,pääkirjoitus,uutiset,éditorial,nouvelle,מאמר מערכת,חדשות,wstępniak,wiadomości,редакционный,новости,editorial,Noticias,habari,uhariri,社論,新聞,editorial,news,editorial,news
869,man,uncle,nouns,رجل,عم,男人,叔叔,dyn,ewythr,mees,onu,mies,setä,homme,oncle,גבר,דוד,mężczyzna,wujek,мужчина,дядя,hombre,tío,mwanaume,mjomba,男人,叔叔,man,uncle,man,uncle
870,money,capital,nouns,مال,رأس مال,钱,资本,arian,cyfalaf,raha,kapital,raha,pääkaupunki,argent,capital,כסף,הון,pieniądze,stolica,деньги,капитал,dinero,capital,hela,fedha,錢,資本,money,capital,money,capital
871,reality,fantasy,nouns,واقع,خيال,现实,幻想,realiti,ffantasi,reaalsus,fantaasia,todellisuus,fantasia,réalité,fantastique,מציאות,הזיה,rzeczywistość,fantazja,реальность,фантазия,realidad,fantasía,uhalisi,ndoto,現實,幻想,reality,fantasy,reality,fantasy
872,salad,vinegar,nouns,سلطة,خل,沙拉,醋,salad,finegr,salat,äädikas,salaatti,etikka,salade,vinaigre,סלט,חומץ,sałatka,ocet,салат,уксус,ensalada,vinagre,saladi,siki,沙拉,醋,salad,vinegar,salad,vinegar
873,boy,soldier,nouns,صبي,جندي,男孩,士兵,bachgen,milwr,poiss,sõdur,poika,sotilas,garçon,soldat,ילד,חייל,chłopiec,żołnierz,мальчик,солдат,niño,soldado,mvulana,mwanajeshi,男孩,士兵,boy,soldier,boy,soldier
874,breakfast,supper,nouns,فطور,عشاء,早餐,晚餐,brecwast,swper,hommikusöök,õhtueine,aamiainen,illallinen,déjeuner,souper,ארוחת בוקר,ארוחת ערב,śniadanie,wieczerza,завтрак,ужин,desayuno,cena,chakula cha asubuhi,karamu,早餐,晚餐,breakfast,supper,breakfast,supper
875,choice,vein,nouns,خيار,وريد,选择,静脉,dewis,gwythïen,valik,veen,valinta,laskimo,choix,veine,בחירה,וריד,wybór,żyła,выбор,вена,elección,vena,chaguo,mshipa,選擇,靜脈,choice,vein,choice,vein
876,tax,income,nouns,ضريبة,مدخول,税,收入,treth,incwm,maks,sissetulek,vero,tulo,impôt,revenu,מס,הכנסה,podatek,dochód,налог,доход,impuesto,ingresos,ushuru,mapato,税,收入,tax,income,tax,income
877,boat,car,nouns,قارب,سيارة,船,车,cwch,car,paat,auto,vene,auto,bateau,voiture,סירה,מכונית,łódź,samochód,судно,автомобиль,bote,coche,boti,gari,船,車,boat,car,boat,car
878,shore,coast,nouns,شاطئ,ساحل,滨,海岸,lan,arfordir,kallas,rannik,rannikko,rannikkoalue,rive,côte,גדה,חוף,brzeg,wybrzeże ,берег,побережье,litoral,costa,ufuko,pwani,濱,海岸,shore,coast,shore,coast
879,medium,news,nouns,وسيط,أخبار,媒介,新闻,cyfrwng,newyddion,meedium,uudised,väliaine,uutiset,communication,nouvelle,מדיה,חדשות,medium,wiadomości,носитель,новость,medio,Noticias,vyombo vya habari,habari,媒介,新聞,medium,news,medium,news
880,right,justice,nouns,حق,عدل,权利,正义,dde,cyfiawnder,õigus,õiglus,oikeus,oikeudenmukaisuus,droit,justice,זכות,צדק,prawo,sprawiedliwość,право,правосудие,derecho,justicia,haki,maadili,權利,正義,right,justice,right,justice
881,meal,waist,nouns,وجبة,خصر,一餐,腰部,pryd bwyd,canol,eine,vöökoht,ateria,vyötärö,repas,taille,ארוחה,מותן,posiłek,talia,трапеза,талия,comida,cintura,chakula,kiuno,一餐,腰部,meal,waist,meal,waist
882,princess,island,nouns,أميرة,جزيرة,公主,岛,tywysoges,ynys,printsess,saar,prinsessa,saari,princesse,île,נסיכה,אי,księżniczka,wyspa,принцесса,остров,princesa,isla,mtoto wa mfalme,kisiwa,公主,島,princess,island,princess,island
883,log,bath,nouns,حطب,حمّام,原木,沐浴,log,bàth,palk,vann,tukki,kylpy,journal,bain,עץ,אמבטיה,polano,wanna,бревно,ванна,tronco,bañera,gogo,kuoga,原木,沖涼,log,bath,log,bath
884,danger,disease,nouns,خطر,مرض,危险,疾病,perygl,afiechyd,oht,tõbi,vaara,tauti,danger,maladie,סכנה,מחלה,niebezpieczeństwo,dolegliwość,опасность,болезнь,peligro,enfermedad,hatari,ugonjwa,危險,疾病,danger,disease,danger,disease
885,fundraising,development,nouns,جمع التبرعات,تطوير,募捐,发展,codi arian,datblygiad,korjandus,arendus,varainkeruu ,kehitys,collecte de fonds,développement,גיוס כספים,פיתוח,kwestowanie,rozwój,сбор пожертвований,развитие,recaudación de fondos,desarrollo,maendeleo,mchango,募捐,發展,fundraising,development,fundraising,development
886,mouse,cat,nouns,فأر,قط,老鼠,猫,llygoden,cath,hiir,kass,hiiri,kissa,souris,chat,עכבר,חתול,mysz,kot,мышка,кошка,ratón,gato,panya,paka,老鼠,貓,mouse,cat,mouse,cat
887,apartment,hotel,nouns,شقّة,فندق,公寓,酒店,fflat,gwesty,korter,hotell,asunto,hotelli,appartement,hôtel,דירה,מלון,mieszkanie,hotel,квартира,гостиница,apartamento,hotel,fleti,hoteli,公寓,酒店,apartment,hotel,apartment,hotel
888,dress,dance,nouns,فستان,رقص,裙子,舞蹈,ffrog,dawnsio,kleit,tants,mekko,tanssi,robe,danse,שמלה,ריקוד,sukienka,taniec,платье,танец,vestir,danza,densi,gauni,裙,舞蹈,dress,dance,dress,dance
889,currency,concurrency,nouns,عملة,تزامن,货币,并发,arian cyfred,cydsyniad,valuuta,kokkulangevus,valuutta,samanaikaisuus,cours,concours,מטבע,תמימות דעים,waluta,współbieżność,валюта,совпадение,moneda,concurrencia,mapatano,sarafu,貨幣,並行性,currency,concurrency,currency,concurrency
890,daughter,kid,nouns,إبنة,طفل,女儿,孩子,merch,crwt,tütar,põngerjas,tytär,muksu,fille,gamin,בת,ילדה,córka,dzieciak,дочь,ребенок,hija,niño,mtoto wa kike,kijana,女兒,孩子,daughter,kid,daughter,kid
891,bath,trick,nouns,حمّام,خدعة,沐浴,戏法,bàth,tric,vann,trikk,kylpy,temppu,bain,astuce,אמבטיה,תעלול,wanna,trik,ванна,шалость,bañera,truco,kuoga,mbinu,沖涼,戲法,bath,trick,bath,trick
892,club,mark,nouns,نادي,علامة,俱乐部,标识,clwb,nod,klubi,märk,kerho,merkki,club,marque,מועדון,סימן,klub,znak,клуб,марка,club,marca,ishara,klabu,俱樂部,標識,club,mark,club,mark
