NUMBER	GLOSS	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENT MATTIS	Comment Kristina	Comment Mei-Shin	Comments Tiago	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
1062	fraud	fraud	nouns				unmapped from FALSE			487:1	crime	1	2	诈骗	fraude	мошенничество	fraude	2.818181818	4.5	1.9	3	3.038519814
1063	fraud	fraud	nouns				unmapped from FALSE			781:1	corruption	1	2	骗局	fraude	мошенничество	fraude	1.363636364	4.3	2.8	3.9	2.653496503
2038	real	real	adjectives	1657	TRUE					1072:1	fake	1	1	真实	réel	настоящий	real	0.2727272727	1.7	0.3	0.1	0.4101981352
3	abnormally	abnormally	adverbs							1770:0	normally	1	1	异常地	anormalement	ненормально	anormalmente	0	1.5	0	0.2	0.3314102564
4	absence	absence	nouns							936:0	presence	1	1	缺席	absence	отсутствие	ausencia	0.1818181818	2.2	0.5	0.3	0.5912004662
5	absorb	absorb	verbs							1326:0 1484:0 1549:0	withdraw possess learn	3	3	吸收	absorber	поглощать	absorber	0.0 0.45454545454545453 2.909090909090909	2.0 1.0 2.6	0.0 0.4 0.3	0.2 1.0 1.6	0.49090909090909096 0.5426573426573427 1.5621794871794876
6	abundance	abundance	nouns							866:0	plenty	1	1	丰富	abondance	изобилие	abundancia	4.181818182	5.8	4.7	5	4.401515152
7	accept	accept	verbs							1311:0 1426:0 1485:0 1489:1 1525:0 1608:0 1615:1 1690:0 1719:0 1727:0	deny decline reject agree recommend forgive receive believe deliver acknowledge	10	10	接受	accepter	принимать	aceptar	0.0 0.36363636363636365 0.45454545454545453 3.727272727272727 0.2727272727272727 2.5454545454545454 0.9090909090909091 1.0909090909090908 0.0 3.272727272727273	1.7 1.9 1.8 4.1 1.0 2.1 3.0 3.4 1.1 5.3	0.1 0.0 0.1 2.3 0.5 1.3 2.9 0.9 0.2 2.8	0.1 0.0 0.2 3.9 0.8 2.6 2.6 1.4 0.4 4.6	0.3647435897435898 0.37837995337995345 0.49959207459207455 3.648426573426573 0.5560606060606061 1.6318181818181812 2.2762237762237763 1.6993589743589743 0.2833333333333334 3.41567599067599
8	accident	accident	nouns							268:0	emergency	1	3	意外	accident	происшествие	accidente	4	3.1	4.3	3.1	2.907342657
9	accident	accident	nouns							150:0 417:0	catastrophe book	2	3	意外	accident	авария	accidente	3.0 0.0	4.8 0.6	3.7 0.0	3.4 0.2	3.6302447552447554 0.075
10	accomplish	accomplish	verbs							1438:1 1597:0 1654:1	achieve become win	3	3	完成	accomplir	завершать	realizar	3.272727272727273 0.7272727272727273 2.090909090909091	5.2 2.1 1.6	1.8 0.9 0.4	3.3 0.2 2.0	3.595687645687646 0.9783799533799536 2.045920745920746
11	accurately	accurately	adverbs							1772:0	actively	1	2	准确地	exactement	точно	precisamente	0.6363636364	0.5	0	1	0.617016317
12	accurately	accurately	adverbs							1808:0	precisely	1	2	准确地	exactement	точно	exactamente	5.454545455	5.8	2.6	5.1	4.542715618
14	acetaminophen	acetaminophen	nouns							809:1	bronchitis	1	1	对乙酰氨基酚	paracétamol	ацетаминофен	acetaminofeno	0.1818181818	1.5	0.8	0.8	0.5798951049
15	acetylcholine	acetylcholine	nouns							282:0	iris	1	1	乙酰胆碱	acétylcholine	ацетилхолин	acetilcolina	0	0.7777777778	0	0.3	0.2814814815
16	achieve	achieve	verbs							1438:0	accomplish	1	4	达到	réussir	достигать	lograr	3.272727273	5.2	1.8	3.3	3.595687646
17	achieve	achieve	verbs							1360:0 1530:0 1670:1	try succeed receive	3	4	实现	atteindre	достигать	lograr	0.8181818181818182 2.0 0.0	1.4 4.4 0.3	1.8 2.8 1.2	0.9 4.7 0.3	0.8805361305361307 3.2407925407925404 0.9874708624708625
19	acknowledge	acknowledge	verbs							1613:1 1727:1 1735:0	speak accept notify	3	3	承认	reconnaître	признавать	reconocer	0.5454545454545454 3.272727272727273 0.0	0.5 5.3 1.3	0.8 2.8 0.5	0.8 4.6 1.0	0.6941142191142191 3.41567599067599 0.8685314685314687
20	acoustics	acoustics	nouns							244:0	sound	1	1	声学	acoustique	акустика	acústica	1	4.4	3	3.8	2.789393939
21	acquire	acquire	verbs							1392:0 1453:1 1473:0 1513:0 1710:0	steal join get obtain find	5	5	获得	acquérir	приобретать	adquirir	1.2727272727272727 0.09090909090909091 4.7272727272727275 4.2727272727272725 2.1818181818181817	1.9 1.2 5.5 5.5 2.8	0.2 0.2 2.1 2.2 0.7	0.7 0.8 2.7 4.8 1.1	0.9343240093240094 0.3332167832167833 3.3950466200466214 3.493822843822844 1.6388111888111883
22	action	action	nouns							23:0 326:1	course game	2	2	行动	action	действие	acción	0.36363636363636365 0.0	2.6 3.2	0.7 2.2	1.3 1.4	1.0001165501165499 1.2715034965034968
23	actively	actively	adverbs							1772:1 1829:1 1857:0	accurately passively happily	3	3	积极地	activement	активно	activamente	0.6363636363636364 0.36363636363636365 0.6363636363636364	0.5 1.7 0.5	0.0 0.1 0.1	1.0 0.2 0.1	0.6170163170163169 0.32762237762237767 0.48776223776223776
24	activity	activity	nouns							838:0	movement	1	1	活动	activité	действие	actividad	2.818181818	3.8	3.1	3	2.519289044
25	actor	actor	nouns							330:1 723:1 859:1 924:0	actress television polyhedron singer	4	4	演员	acteur	актер	actor	3.3636363636363638 0.6363636363636364 0.0 2.4545454545454546	4.8 1.6 0.0 2.7	2.6 1.0 0.0 1.0	4.1 0.6 0.0 0.8	3.7834498834498826 0.8435314685314684 0.1851981351981352 1.403554778554778
26	actress	actress	nouns							330:0	actor	1	1	女演员	actrice	актриса	Actriz	3.363636364	4.8	2.6	4.1	3.783449883
29	adjourn	adjourn	verbs							1337:0	finish	1	1	休会	ajourner	откладывать	aplazar	0.1818181818	2.9	0.1	0.5	1.086829837
30	administration	administration	nouns							907:0	management	1	1	行政管理	administration	руководство	administración	3.727272727	4.9	4.6	3.4	3.512820513
31	admire	admire	verbs							1492:1	adore	1	1	敬佩	admirer	восхищаться	admirar	4.545454545	4.4	3.8	4	3.56002331
33	adore	adore	verbs							1492:0	admire	1	1	崇拜	adorer	обожать	adorar	4.545454545	4.4	3.8	4	3.56002331
35	advance	advance	verbs							1589:1	promote	1	1	前进	avancer	продвигаться	avanzar	1.727272727	2.6	1.3	2.4	2.001748252
36	adversary	adversary	nouns							644:0	opponent	1	1	对手	adversaire	соперник	adversario	5	5.7	3.2	4.8	4.354020979
37	advise	advise	verbs							1506:0	recommend	1	2	建议	conseiller	советовать	asesorar	3.909090909	5.8	5	4.7	4.070629371
38	advise	advise	verbs							1738:1	suggest	1	2	劝告	conseiller	консультировать	asesorar	2.909090909	5.6	0.4	4	3.658741259
39	aeronautics	aeronautics	nouns							207:1	avionics	1	1	航空学	aéronautique	воздухоплавание	aeronáutica	3.090909091	4.6	1.3	3	2.703263403
40	affix	affix	nouns							229:1	suffix	1	1	词缀	affixe	аффикс	afijo	2.454545455	4	1.2	2	2.186888112
41	affordable	affordable	adjectives							1079:0	cheap	1	1	付得起	abordable	доступный	asequible	2.909090909	5.7	2.3	4.6	3.657284382
44	afterworld	afterworld	nouns							798:0	purgatory	1	1	后世	au-delà	загробный мир	más allá	0.09090909091	2.8	1.9	2.4	1.733741259
46	aggravate	aggravate	verbs							1487:1	bother	1	2	加剧	aggraver	обострять	agravar	0	0.4	0.1	1.1	0.8243589744
47	aggravate	aggravate	verbs							1599:1	assault	1	2	加剧	aggraver	раздражать	agravar	0.3636363636	1.3	0	1	0.6083916084
48	aggression	aggression	nouns							1008:0	hostility	1	1	侵略	agression	агрессивность	agresión	1.636363636	3.8	5.1	3	3.43962704
49	aggressive	aggressive	adjectives							1141:0	curved	1	2	好斗	agressif	агрессивный	agresivo	0.1818181818	0	0	0	0.07348484848
50	aggressive	aggressive	adjectives							1259:0	rude	1	2	有攻击性的	agressif	агрессивный	agresivo	1.272727273	2.3	4.1	2.5	1.814160839
51	agony	agony	nouns							300:0	grief	1	1	痛苦	agonie	мука	agonía	4.909090909	2.5	1.4	3.6	2.912179487
56	agriculture	agriculture	nouns							571:0 705:0	monoculture plant	2	2	农业	agriculture	сельское хозяйство	agricultura	1.1818181818181819 1.1818181818181819	3.6 1.8	0.5 0.9	1.2 0.8	1.46474358974359 1.1332167832167832
57	aid	aid	verbs							1626:1	assist	1	1	援助	aider	помогать	ayudar	3.636363636	5.6	4.7	4.2	4.827156177
58	aim	aim	verbs							1300:0	hit	1	1	瞄准	viser	целиться	objetivo	1.909090909	2.8	0.6	0.4	1.259615385
60	airport	airport	nouns							407:0	piece	1	2	飞机场	aéroport	аэропорт	aeropuerto	0	0.2	0	0	0.03333333333
61	airport	airport	nouns							459:1	plane	1	2	机场	aéroport	аэропорт	aeropuerto	1.090909091	2.7	1.1	1.4	1.317657343
62	aisle	aisle	nouns							686:0	hallway	1	2	走道	allée	проход	altar	5.090909091	4	4	0.2	2.8745338
63	aisle	aisle	nouns							702:0	hall	1	2	走道	allée	проход	pasillo	0.1818181818	1.7	3.9	0.7	1.170804196
65	algebra	algebra	nouns							740:0	operation	1	1	代数	algèbre	алгебра	álgebra	0	3.4	0	1.5	0.7421911422
66	alien	alien	nouns							569:0	outlander	1	1	异族	extraterrestre	пришелец	extraterrestre	3.727272727	3.4	3.1	1.4	2.937062937
68	alley	alley	nouns							264:1	street	1	2	小巷	ruelle	переулок	callejón	3.272727273	4.9	2.7	3.6	3.33490676
69	alley	alley	nouns							567:0	bowl	1	2	小巷	ruelle	дорожка	callejón	0	0	0	0	0.01474358974
72	allowed	allowed	adjectives							1142:1	legal	1	1	允许	permis	допущенный	permitido	2.545454545	5.1	3	4.3	3.775641026
73	alloy	alloy	nouns							850:0	steel	1	1	合金	alliage	сплав	aleación	3.818181818	3.6	2	1.5	2.552564103
74	alphabet	alphabet	nouns							255:0	pen	1	1	字母	alphabet	алфавит	alfabeto	0	1.1	0.5	0.8	0.3397435897
75	alright	alright	adjectives							1080:1	mediocre	1	1	好的	convenable	хороший	bien	0.3636363636	1.9	0.7	0.2	1.324941725
77	altitude	altitude	nouns					altitude is 海拔 (geographical term), 高度 is height		223:0	conversion	1	1	高度	altitude	высота	altitud	0.09090909091	0.4	0	0.7	0.2318181818
78	aluminium	aluminium	nouns							568:1 716:1	tin metal	2	2	铝	aluminium	алюминий	aluminio	0.7272727272727273 3.0	2.6 3.3	0.0 1.8	1.1 1.7	1.6243589743589741 2.4581002331002333
81	amazingly	amazingly	adverbs							1873:0	fantastically	1	1	令人惊讶	incroyablement	удивительно	espantosamente	3.181818182	5.3	3.3	0.4	4.042016317
82	amorphous	amorphous	adjectives							1189:1	shapeless	1	1	不定形	amorphe	аморфный	amorfo	2.636363636	3.3	3.8	2.2	3.808449883
83	analyze	analyze	verbs							1375:0 1560:1	evaluate compare	2	2	分析	analyser	анализировать	analizar	4.454545454545454 2.727272727272727	4.9 3.5	3.6 3.2	4.6 2.7	3.735372960372961 2.669114219114219
84	anarchy	anarchy	nouns							946:0	chaos	1	1	无政府	anarchie	анархия	anarquía	2.909090909	4.4	4.5	3.6	3.862062937
85	anatomy	anatomy	nouns							146:0	biology	1	1	解剖学	anatomie	анатомия	anatomía	2.636363636	3.4	1.5	2.2	2.320920746
87	ancient	ancient	adjectives							1174:1	modern	1	2	古老	ancien	старинный	antiguo	0	1.8	0.1	0.2	0.3715617716
88	ancient	ancient	adjectives							1187:1	new	1	2	古老	ancien	старый	antiguo	0.1818181818	1.8	0	0.2	0.37004662
89	angel	angel	nouns							179:1	demon	1	1	天使	ange	ангел	ángel	0.2727272727	2.1	0.2	1	0.6813519814
92	angle	angle	nouns							151:1	curve	1	1	角度	angle	угол	ángulo	1	2.6	2.7	2.2	1.66486014
100	antagonize	antagonize	verbs							1708:1	irritate	1	1	对抗	contrarier	противодействовать	enemistarse	4.181818182	5.2	0.7	1.2	2.948892774
101	antecedent	antecedent	nouns							104:1	past	1	1	前情	antécédent	предшествующее	antecedente	4.090909091	4.9	3.9	3.4	2.508216783
102	anthropology	anthropology	nouns							364:0	archaeology	1	1	人类学	anthropologie	антропология	antropología	0.9090909091	2.8	0.8	1.1	1.668240093
103	anxious	anxious	adjectives							1257:1	afraid	1	2	急	anxieux	встревоженный	ansioso	0.1818181818	3.5	3.8	1.1	2.748776224
104	anxious	anxious	adjectives							1287:1	impatient	1	2	焦虑	inquiet	беспокойный	ansioso	3.636363636	2.3	2.7	4.2	2.572435897
105	anxiously	anxiously	adverbs							1799:1	nervously	1	1	焦急地	anxieusement	тревожно	ansiosamente	3.818181818	5.7	3.1	4.1	3.741550117
106	apartment	apartment	nouns							42:1 352:0 887:0	house furniture hotel	3	3	公寓	appartement	квартира	apartamento	4.2727272727272725 0.09090909090909091 0.7272727272727273	4.0 2.0 2.6	4.2 0.9 0.8	4.1 0.5 1.1	3.691724941724942 0.6801864801864802 1.1652097902097902
107	apocalypse	apocalypse	nouns							420:0	fire	1	1	大灾变	apocalypse	апокалипсис	apocalipsis	0.8181818182	1.7	1.1	0.9	0.747960373
108	app	app	nouns							438:0	galaxy	1	1	应用	application	приложение	aplicación	0	0.2	0.6	0.2	0.15
109	apparent	apparent	adjectives							1211:0	obvious	1	1	显然	apparent	кажущийся	aparente	4.909090909	4.5	1.8	3.8	4.097435897
110	apparently	apparently	adverbs							1809:0 1832:0	simply obviously	2	2	看来	apparemment	видимо	aparentemente	1.0909090909090908 1.9090909090909092	1.6 3.0	1.3 3.6	0.5 3.3	0.788053613053613 2.670046620046621
114	appliance	appliance	nouns							469:1	pot	1	1	器具	dispositif	прибор	aparato	2.454545455	0.1	0.5	0.3	0.709965035
115	applicant	applicant	nouns							1024:0	application	1	1	申请人	candidat	кандидат	solicitante	1.272727273	2.8	0.2	1.7	1.392540793
116	application	application	nouns							1024:1	applicant	1	1	申请	candidature	приложение	solicitud	1.272727273	2.8	0.2	1.7	1.392540793
117	appoint	appoint	verbs							1550:0	elect	1	1	任命	nommer	назначать	nombrar	0.6363636364	5.5	0.8	3.2	2.547144522
118	appointment	appointment	nouns							592:0	engagement	1	1	约定	rendez-vous	назначение	cita	2.181818182	3.4	1.2	4	1.555536131
119	approve	approve	verbs							1443:1	permit	1	1	赞成	approuver	утвердить	aprobar	3.818181818	3.6	2.8	3.1	3.604254079
120	archaeology	archaeology	nouns							364:1	anthropology	1	1	考古学	archéologie	археология	arqueología	0.9090909091	2.8	0.8	1.1	1.668240093
121	archbishop	archbishop	nouns							210:0	bishop	1	1	大主教	archevêque	архиепископ	arzobispo	4.272727273	4.7	2.7	3	3.552738928
122	archer	archer	nouns							29:0	pathfinder	1	1	射手	archer	лучник	arquero	0.2727272727	2.2	0.6	0.8	0.5726107226
131	argument	argument	nouns							304:1	discussion	1	3	争论	débat	спор	discusión	3.636363636	5.2	3.8	2.7	2.74504662
132	argument	argument	nouns							472:0	agreement	1	3	争论	discussion	спор	discusión	0.4545454545	3.4	0.5	1.2	0.7344405594
133	argument	argument	nouns							739:0	criticism	1	3	争论	dispute	спор	argumento	1.090909091	2.8	1.1	2.8	1.575058275
134	arithmetic	arithmetic	nouns							196:1 725:0	logic rhythm	2	2	算术	arithmétique	арифметика	aritmética	2.090909090909091 0.09090909090909091	4.0 0.2	1.2 0.2	2.1 0.9	1.6485431235431234 0.2575757575757576
139	array	array	nouns							1000:0	list	1	1	阵列	tableau	матрица	formación	0.5454545455	3.1	0.9	0.5	1.327156177
140	arrest	arrest	verbs							1483:0	suspect	1	1	逮捕	arrêter	арестовывать	arrestar	0.3636363636	1.6	0.3	0.8	0.6234265734
142	arrogant	arrogant	adjectives							1078:1	proud	1	1	傲慢	arrogant	высокомерный	arrogante	2.909090909	4.6	2.7	3.5	2.749358974
144	article	article	nouns							222:0 397:1 979:1	journal book manuscript	3	3	文章	article	статья	artículo	2.090909090909091 3.3636363636363638 3.1818181818181817	3.8 2.8 2.6	1.4 1.0 3.4	1.7 1.0 2.2	2.2378787878787874 1.7281468531468525 2.0236596736596737
145	artificial	artificial	adjectives							1114:0	fake	1	1	人造	artificiel	искусственный	artificial	3	4.6	3.9	3.4	4.209149184
146	artist	artist	nouns							475:1	artwork	1	1	艺术家	artiste	художник	artista	0.8181818182	2.5	1.2	1.6	1.2254662
147	artwork	artwork	nouns							475:0	artist	1	1	艺术品	oeuvre	искусства	obra de arte	0.8181818182	2.5	1.2	1.6	1.2254662
152	assault	assault	verbs							1599:0	aggravate	1	1	攻击	agresser	нападать	asaltar	0.3636363636	1.3	0	1	0.6083916084
153	asset	asset	nouns							22:0	stock	1	1	资产	actif	актив	activo	2.545454545	4	2.2	2.6	2.546386946
154	assignment	assignment	nouns							202:0	task	1	2	作业	affectation	задание	asignación	2.545454545	3	3.9	4.9	4.061013986
155	assignment	assignment	nouns							322:1	note	1	2	作业	devoir	задание	trabajo	0.4545454545	2.6	0.7	0.7	0.7283216783
156	assist	assist	verbs							1626:0	aid	1	1	协助	assister	ассистировать	asistir	3.636363636	5.6	4.7	4.2	4.827156177
157	assume	assume	verbs							1419:0	pretend	1	2	假设	supposer	симулировать	asumir	2.272727273	3	4.5	2.3	1.340617716
158	assume	assume	verbs							1520:0	predict	1	2	假设	supposer	предполагать	asumir	4.636363636	2.9	3.1	2.8	2.466200466
159	asteroid	asteroid	nouns							768:0	star	1	1	小行星	astéroïde	астероид	asteroide	3	3.2	2	2.7	2.43502331
160	astronomer	astronomer	nouns							111:1	galaxy	1	1	天文学家	astronome	астроном	astrónomo	0.1818181818	1.9	1.5	1.6	1.058508159
161	astronomical	astronomical	adjectives					天文學的		1212:1	massive	1	1	天文	astronomique	астрономический	astronómico	0.09090909091	3.1	0.8	1.6	1.74044289
162	athlete	athlete	nouns							657:1	runner	1	1	运动员	athlète	спортсмен	atleta	3.272727273	3.8	2	3.3	3.108624709
163	atmosphere	atmosphere	nouns							238:1 428:0	pollution ozone	2	2	大气层	atmosphère	атмосфера	atmósfera	0.18181818181818182 2.6363636363636362	2.5 4.1	0.8 1.6	1.3 2.0	0.7438228438228438 2.365384615384615
164	atom	atom	nouns							193:0 289:1	carbon molecule	2	2	原子	atome	атом	átomo	0.45454545454545453 2.4545454545454546	3.1 4.0	1.6 1.0	1.3 2.5	1.3695804195804195 2.366375291375291
165	attach	attach	verbs							1379:0	join	1	2	连接	attacher	вкладывать	adjuntar	0.9090909091	1.9	1	2.7	2.202913753
166	attach	attach	verbs							1674:1	separate	1	2	连接	attacher	прикреплять	adjuntar	0.3636363636	1.5	0	0.1	0.32004662
169	attempt	attempt	verbs							1748:0	intend	1	1	试着	tenter	пытаться	intentar	1.818181818	4.4	2.8	3.2	1.925174825
170	attend	attend	verbs							1388:0 1398:1 1435:1 1587:0 1610:1 1660:1	arrive send come argue appear gather	6	6	出席	assister	посещать	asistir	3.090909090909091 0.0 3.1818181818181817 0.18181818181818182 3.090909090909091 0.5454545454545454	0.4 0.5 3.4 1.1 1.5 0.7	1.1 0.2 2.3 0.0 1.1 0.3	2.2 0.7 2.0 0.2 2.7 0.9	1.9480769230769235 0.2901515151515152 2.804487179487179 0.3393939393939394 1.949417249417249 0.9448717948717947
171	attention	attention	nouns							265:0 633:0	awareness interest	2	2	注意	attention	внимание	atención	2.727272727272727 0.2727272727272727	3.5 4.6	0.9 3.9	1.5 3.8	2.2557109557109554 2.6504079254079254
172	attitude	attitude	nouns							389:0	confidence	1	1	态度	attitude	настрой	actitud	1.272727273	2.3	1.6	1.9	1.401165501
173	attorney	attorney	nouns							281:0	lawyer	1	1	狀師	avocat	представитель	abogado	3.090909091	4.3	1.4	4.7	4.202505828
174	attract	attract	verbs							1714:1	hit	1	1	吸引	attirer	привлекать	atraer	0	1.1	0	0.1	0.225
177	author	author	nouns							81:0	creator	1	2	作者	auteur	автор	autor	4	5.1	4.5	5.3	4.219055944
178	author	author	nouns							1047:0	reader	1	2	作者	auteur	писатель	autor	0.3636363636	2.3	0.8	0.8	0.7618881119
179	automobile	automobile	nouns							58:0	car	1	1	车	automobile	автомобиль	automóvil	5.818181818	6	5.7	5.5	5.650874126
180	avalanche	avalanche	nouns							1007:0	snow	1	1	雪崩	avalanche	снежный обвал	avalancha	1.727272727	2.8	1.7	1.5	1.943356643
181	average	average	adjectives							1288:1	regular	1	1	平均	moyen	средний	promedio	0.4545454545	3.6	2.2	4.1	2.111363636
182	aviation	aviation	nouns							1001:0	flight	1	1	航空	aviation	авиация	aviación	3	2.8	1.3	2.2	2.648135198
183	avionics	avionics	nouns							207:0	aeronautics	1	1	航空电子学	avionique	авионики	aviónica	3.090909091	4.6	1.3	3	2.703263403
187	awareness	awareness	nouns							265:1	attention	1	1	意识	conscience	осведомленность	conciencia	2.727272727	3.5	0.9	1.5	2.255710956
188	away	away	adverbs							1887:1	home	1	1	在别处	à l'extérieur	далеко	lejos	0.3636363636	1.8	0.2	0.1	0.4710955711
189	awful	awful	adjectives							1123:1 1246:1	bad great	2	2	糟糕	terrible	ужасный	horrible	3.6363636363636362 0.09090909090909091	4.0 2.8	3.9 0.0	2.5 0.2	3.2200466200466202 0.42913752913752906
191	background	background	nouns							82:1	wallpaper	1	1	背景	arrière-plan	фон	fondo	3	3.4	1.9	1.6	2.388228438
192	bacon	bacon	nouns							709:1	meat	1	3	培根	lard	бекон	tocino	3.181818182	3.4	2.4	1.5	2.901631702
193	bacon	bacon	nouns							542:0 599:1	bean breakfast	2	3	培根	bacon	бекон	tocino	0.0 0.45454545454545453	1.3 1.6	0.2 0.8	0.3 0.3	0.38141025641025644 0.8437062937062936
195	badge	badge	nouns							51:0	glass	1	1	徽章	badge	значок	placa	0.09090909091	0.5	0	0.7	0.1958041958
197	baggage	baggage	nouns							26:1	circumnavigation	1	1	行李	bagage	багаж	equipaje	0	1	1	1.1	0.4256993007
203	ballad	ballad	nouns							947:0	song	1	1	歌谣	ballade	баллада	balada	3.090909091	4.8	3.6	3.9	3.772610723
205	band	band	nouns							185:0	parade	1	4	乐队	parade	оркестр	banda	0.3636363636	5.9	1	2	1.371386946
206	band	band	nouns							613:1	endurance	1	4	乐队	groupe	повязка	banda	0	0.2	0	0.1	0.06666666667
207	band	band	nouns							429:1 771:0	liquor orchestra	2	4	乐队	groupe	группа	banda	0.0 3.909090909090909	0.3 3.6	0.3 1.0	0.5 4.3	0.15000000000000002 3.55955710955711
209	banker	banker	nouns							107:1	lawyer	1	1	银行家	banquier	банкир	banquero	0.1818181818	1.8	0.8	1.4	0.9706293706
210	bankruptcy	bankruptcy	nouns							461:0	failure	1	1	破产	faillite	банкротство	bancarrota	0.9090909091	5	2.8	2.2	2.121153846
211	bar	bar	nouns							753:0	cage	1	2	栅栏	barreau	пруток	bar	1.727272727	2.9	0	0.3	1.2497669
212	bar	bar	nouns							998:0	jail	1	2	酒吧	barreau	пруток	bar	0.3636363636	2.9	0	0.2	1.019289044
213	bargain	bargain	nouns							589:1	penny	1	1	便宜货	occasion	сделка	ganga	0.09090909091	0.3	0.2	0.3	0.2586247086
217	baseball	baseball	nouns							1030:1	fraternity	1	3	棒球	base-ball	бейсбол	béisbol	0	0.4	0.6	0.3	0.1893939394
218	baseball	baseball	nouns							153:1 795:1	basketball couch	2	3	棒球	baseball	бейсбол	béisbol	0.6363636363636364 0.0	3.1 0.1	1.0 0.0	1.5 0.2	1.5251748251748252 0.09999999999999999
219	basically	basically	adverbs							1860:1	fully	1	1	基本上	au fond	в принципе	básicamente	0.4545454545	1.4	0.6	1.4	0.8465617716
220	basilica	basilica	nouns							561:0	mosaic	1	1	教堂	basilique	базилика	basílica	0	0.8	0.3	0.4	0.5320512821
222	basketball	basketball	nouns							153:0	baseball	1	1	篮球	basket	баскетбол	baloncesto	0.6363636364	3.1	1	1.5	1.525174825
226	bathroom	bathroom	nouns							260:0 693:0	bedroom kitchen	2	2	洗手间	salle de bain	ванная	baño	0.36363636363636365 0.18181818181818182	2.6 2.5	0.7 0.7	1.2 0.6	1.1519230769230766 0.8903263403263401
229	battleship	battleship	nouns							743:1	dreadnought	1	1	主力舰	cuirassé	линкор	buque	2.454545455	5.2	2.3	3.2	3.944871795
238	beautifully	beautifully	adverbs							1848:1	elegantly	1	1	美丽地	admirablement	красиво	hermosamente	3.090909091	3.9	3.3	1.2	2.972261072
239	beauty	beauty	nouns							664:1	sonnet	1	2	美	beauté	красота	belleza	0.09090909091	0.8	0.1	0.5	0.2934731935
240	beauty	beauty	nouns							801:0	age	1	2	美人	beauté	красота	belleza	0.3636363636	1.2	0.6	0.5	0.459032634
258	behave	behave	verbs							1421:0	obey	1	1	守规矩	se comporter	слушаться	comportarse	4	3.5	3.4	2.8	2.516200466
259	behaviorism	behaviorism	nouns							680:0	therapy	1	1	行为主义	comportementalisme	бихевиоризм	behaviorismo	0	2.3	0.5	0.9	0.9371794872
266	belligerence	belligerence	nouns							32:1	combat	1	1	好斗	belligérance	воинственность	beligerancia	3	4.6	2	3.4	2.571620047
270	bet	bet	verbs							1620:1	gamble	1	1	打赌	miser	сделать ставку	apostar	4.454545455	5.5	2.5	2.7	3.44044289
272	bias (noun)	bias	nouns							369:0	opinion	1	1	偏压	préjugé	предубеждение	parcialidad	0.2727272727	4	2.5	2.1	1.661713287
273	bias (verb)	bias	verbs							1745:0	incline	1	1	偏见	influencer	настраивать	parcialidad	2.363636364	3	0.5	1.9	2.562529138
274	bible	bible	nouns							399:0 441:1	hymn book	2	2	圣经	bible	библия	Biblia	2.272727272727273 2.3636363636363638	0.7 3.7	2.1 1.6	0.5 2.0	0.9974358974358976 2.13502331002331
277	bike	bike	nouns							390:0	skin	1	1	自行车	vélo	велосипед	bicicleta	0	0.4	0	0.4	0.1075757576
278	billionaire	billionaire	nouns							224:0	homeless	1	1	亿万富翁	milliardaire	миллиардер	multimillonario	0	1.5	0.1	0.2	0.3774475524
279	biography	biography	nouns							6:0	fiction	1	1	传记	biographie	биография	biografía	2.636363636	2.3	1	0.7	1.122086247
280	biologist	biologist	nouns							50:0	microscope	1	1	生物学家	biologiste	биолог	biólogo	0.1818181818	2.1	1.1	1.3	0.8552447552
281	biology	biology	nouns							146:1 1036:1	anatomy biotope	2	2	生物学	biologie	биология	biología	2.6363636363636362 1.1818181818181819	3.4 2.1	1.5 0.6	2.2 0.9	2.3209207459207457 0.9539044289044286
282	biotope	biotope	nouns							1036:0	biology	1	1	群落生境	biotope	биотоп	biotopo	1.181818182	2.1	0.6	0.9	0.9539044289
286	biscuit	biscuit	nouns							245:1	princess	1	1	饼干	biscuit	бисквит	galleta	0	1.9	0	0	0.1666666667
287	bishop	bishop	nouns							210:1 372:0	archbishop muslim	2	2	主教	évêque	епископ	obispo	4.2727272727272725 0.7272727272727273	4.7 1.6	2.7 0.3	3.0 0.4	3.5527389277389276 0.543065268065268
289	bizarre	bizarre	adjectives							1175:0	strange	1	1	怪诞	bizarre	эксцентричный	bizarro	4.636363636	6	2.8	3.9	4.202564103
296	blend	blend	verbs							1527:0	combine	1	2	混合	mélanger	смешивать	mezcla	1.636363636	5.1	3.7	4.3	3.539277389
297	blend	blend	verbs							1689:1	beat	1	2	混合	mélanger	смешивать	mezclar	0	5.1	0.1	0	0.7423076923
299	blitz	blitz	nouns							516:0	attack	1	1	闪电攻击	blitz	блицкриг	bombardeo aéreo	3.454545455	2.9	3.3	2.8	3.628787879
300	blizzard	blizzard	nouns							460:0	rain	1	1	暴风雪	blizzard	метель	tormenta de nieve	0.7272727273	3.1	0.8	0.6	1.315268065
308	bold	bold	adjectives							1109:0	proud	1	1	胆大	audacieux	дерзкий	negrita	0.7272727273	2.6	1.3	0	1.136829837
