NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
1396	join	verbs	1743	JOIN	1453:0	acquire	1	7	加入	joindre	объединяться	unirse	0.09090909090909091	1.2	0.2	0.8	0.3332167832167833
1397	join	verbs	1743	JOIN	1543:0	marry	1	7	加入	joindre	присоединиться	unirse	0.2727272727272727	3.7	0.6	2.4	1.5246503496503496
1398	join	verbs	1743	JOIN	1574:1	leave	1	7	參加	rejoindre	присоединиться	unirse	0.36363636363636365	2.2	0.0	0.5	0.38671328671328675
1399	join	verbs	1743	JOIN	1672:1	participate	1	7	加入	rejoindre	присоединяться	unirse	4.181818181818182	3.2	1.3	3.0	3.089685314685314
1400	join	verbs	1743	JOIN	1722:1	cooperate	1	7	參加	rejoindre	объединяться	unirse	0.6363636363636364	2.7	3.0	3.1	1.7815268065268066
1401	journal	nouns			222:1	article	1	1	杂志	journal	журнал	diario	2.090909090909091	3.8	1.4	1.7	2.2378787878787874
1402	journalist	nouns			118:1	poet	1	1	记者	journaliste	журналист	periodista	0.0	1.8	0.7	0.9	0.7755244755244756
1403	journey	nouns	2393	JOURNEY	269:0	conquest	1	2	旅程	voyage	путешествие	viaje	0.45454545454545453	2.9	0.0	0.8	0.7825174825174822
1404	journey	nouns	2393	JOURNEY	532:0	trip	1	2	旅程	voyage	путешествие	ruta	4.090909090909091	3.8	4.3	3.6	4.26923076923077
1405	joy	nouns	2524	JOY	970:0	pride	1	1	喜悦	joie	радость	alegría	1.8181818181818181	3.2	1.5	1.2	1.6831002331002332
1406	joystick	nouns			586:0	radar	1	1	操纵杆	manette	джойстик	palanca de mando	0.09090909090909091	0.2	0.5	0.4	0.2752913752913753
1407	judge (noun)	nouns	861	JUDGE	199:1 413:0	magistrate court	2	2	法官	juge	судья	juez	3.5454545454545454 0.8181818181818182	5.1 3.3	1.2 1.6	3.2 0.9	3.3267482517482514 1.4856060606060604
1408	judge	verbs	861	JUDGE	1327:1	testify	1	3	判断	juger	судить	juez	0.18181818181818182	1.9	0.1	0.9	0.6645104895104895
1409	judge	verbs	861	JUDGE	1584:0 1686:0	decide accuse	2	3	判断	juger	судить	juzgar	3.0 0.7272727272727273	4.2 3.1	1.3 3.0	2.8 2.9	2.557051282051282 2.3903846153846158
1410	juice	nouns	1499	JUICE	343:1 617:0 766:1 966:0	milk milkshake apple spoon	4	4	果汁	jus	сок	jugo	0.6363636363636364 0.36363636363636365 1.4545454545454546 0.0	2.3 2.6 2.3 1.0	0.2 0.4 1.0 0.3	0.7 3.4 1.0 0.2	0.9164335664335662 1.6576923076923078 1.1209207459207462 0.27196969696969703
1411	jumping	nouns			649:1	fence	1	1	跳跃	saut d'obstacles	прыжки	saltando	0.0	2.1	0.6	0.4	0.425
1412	justice	nouns			103:1	tribunal	1	2	正义	justice	справедливость	justicia	0.9090909090909091	3.7	1.7	2.6	1.9787878787878788
1413	justice	nouns			880:1	right	1	2	正义	justice	правосудие	justicia	0.5454545454545454	4.1	1.2	2.3	1.690268065268065
1414	justify	verbs			1461:1 1603:1	argue verify	2	2	辩解	justifier	обосновывать	justificar	3.8181818181818183 0.36363636363636365	2.8 2.8	5.5 3.1	0.7 1.8	2.2959207459207462 1.4621212121212122
1415	keep	verbs	1477	KEEP	1437:1	lose	1	7	保持	garder	сохранять	mantener	0.18181818181818182	1.5	0.1	0.1	0.3060606060606061
1416	keep	verbs	1477	KEEP	1532:0 1621:0 1667:1	give borrow retain	3	7	保持	garder	держать	mantener	0.18181818181818182 0.0 3.1818181818181817	1.9 1.9 5.2	0.2 0.2 1.5	0.7 0.2 5.0	0.43030303030303035 0.4025641025641025 3.711421911421912
1417	keep	verbs	1477	KEEP	1563:0 1671:0 1675:1	protect possess cherish	3	7	保持	garder	хранить	mantener	0.2727272727272727 0.45454545454545453 0.45454545454545453	4.4 3.1 2.3	1.9 1.4 1.5	1.8 2.6 0.4	1.793181818181818 1.982925407925408 1.7044289044289045
1418	key	nouns	1472	KEY	844:0	lock	1	3	钥匙	clé	ключ	llave	0.8181818181818182	2.7	0.9	2.4	1.2335664335664338
1419	key	nouns	1472	KEY	692:1 718:1	house crown	2	3	锁匙	clé	ключ	llave	0.0 0.0	1.5 0.1	0.8 0.0	0.6 0.2	0.6245337995337995 0.11590909090909095
1420	keyboard	nouns			421:0	light	1	1	键盘	clavier	клавиатура	teclado	0.09090909090909091	0.2	0.0	0.5	0.09772727272727276
1421	kick	verbs	1135	KICK	1733:0	hurt	1	1	踢	frapper	пинать	patear	0.8181818181818182	3.9	2.3	1.3	1.5488927738927734
1422	kid	nouns	1972	KID	293:1	boy	1	2	孩子	gosse	ребенок	niño	3.3636363636363638	4.4	2.8	4.4	3.1567599067599055
1423	kid	nouns	1972	KID	890:1	daughter	1	2	孩子	gamin	ребенок	niño	2.909090909090909	2.1	1.3	0.4	1.8098484848484853
1424	kidnap	verbs			1680:1	steal	1	1	绑架	kidnapper	похищать	secuestrar	0.5454545454545454	3.5	4.7	1.6	2.3462703962703966
1425	kidney	nouns	489	KIDNEY	113:0	organ	1	1	肾	rein	почка	riñón	4.363636363636363	4.2	2.2	3.2	2.8848484848484843
1426	kill	verbs	1417	KILL	1368:1 1413:0 1477:0 1618:0 1649:0	fight choke destroy defend hang	5	5	杀	tuer	убивать	matar	1.2727272727272727 4.454545454545454 3.272727272727273 0.36363636363636365 2.909090909090909	2.1 3.6 3.2 1.3 3.9	0.3 2.3 4.5 0.0 1.4	0.5 1.0 1.7 0.4 0.5	1.2054195804195802 2.140151515151515 2.6441724941724933 0.430944055944056 2.0939976689976683
1427	kindergarten	nouns			1043:0	preschool	1	1	幼儿园	crèche	детский сад	guardería	0.6363636363636364	3.7	6.0	3.1	3.1249999999999996
1428	kindly	adverbs			1766:1	nicely	1	3	仁慈地	aimablement	любезно	amablemente	4.636363636363637	5.7	4.2	0.9	3.7106643356643367
1429	kindly	adverbs			1813:1	generously	1	3	好心地	gentiment	любезно	amablemente	2.6363636363636362	2.7	2.2	3.3	2.780652680652681
1430	kindly	adverbs			1877:0	gently	1	3	仁慈地	doucement	любезно	amablemente	3.3636363636363638	3.6	0.6	2.1	2.1388694638694634
1431	king	nouns	1508	KING	155:0 163:1 345:1 845:0	princess prince nepotism ruler	4	4	国王	roi	король	Rey	0.0 2.0 0.36363636363636365 5.0	3.3 4.3 2.2 4.9	0.9 1.3 0.3 4.0	1.8 2.2 1.7 0.9	1.5633449883449881 2.1405594405594397 0.796853146853147 3.7764568764568764
1432	kitchen	nouns	1365	KITCHEN	136:1 693:1	door bathroom	2	2	厨房	cuisine	кухня	cocina	0.0 0.18181818181818182	0.9 2.5	0.8 0.7	0.7 0.6	0.42004662004662013 0.8903263403263401
1433	knee	nouns	1371	KNEE	840:1 906:1	bone arm	2	2	膝盖	genou	колено	rodilla	1.3636363636363635 0.36363636363636365	2.7 2.2	1.2 0.7	0.9 0.5	1.2381118881118878 0.8086829836829836
1434	knife	nouns	1352	KNIFE	215:1	gun	1	1	刀	couteau	нож	cuchillo	2.090909090909091	2.9	1.1	1.7	1.6185897435897436
1435	know	verbs	3626	KNOW	1490:0 1502:1 1580:0 1702:1 1720:1	comprehend give believe understand forget	5	5	知道	savoir	знать	saber	3.8181818181818183 0.0 0.9090909090909091 3.1818181818181817 0.0	0.5 0.6 3.1 3.4 1.6	1.1 0.4 0.5 1.5 0.1	2.9 0.5 0.9 3.4 0.2	2.7969114219114224 0.18065268065268067 1.2636363636363634 3.025 0.33065268065268066
1436	known	adjectives			1124:1 1167:0 1197:0	well national popular	3	3	闻名	connu	известный	conocido	3.090909090909091 0.0 3.6363636363636362	1.3 1.6 5.4	0.2 0.1 4.4	0.4 0.4 4.3	0.6691142191142189 0.44166666666666665 3.8349650349650353
1437	laden	adjectives			1207:0	heavy	1	1	满载	chargé	груженный	cargado	0.7272727272727273	4.5	2.6	2.9	2.137762237762238
1438	lady	nouns	2471	LADY	836:0	gentleman	1	1	女士	madame	госпожа	dama	0.2727272727272727	3.3	1.8	0.9	1.0921911421911423
1439	lake	nouns	624	LAKE	283:0 292:0	swamp cloud	2	2	湖	lac	озеро	lago	0.45454545454545453 0.09090909090909091	3.0 0.8	0.5 0.3	2.8 0.3	1.5794871794871785 0.34621212121212125
1440	lamb	nouns	820	LAMB	74:1	sheep	1	1	羊肉	agneau	ягненок	Cordero	4.363636363636363	4.8	3.0	3.8	3.927447552447552
1441	lamp	nouns	625	LAMP	284:0	genie	1	1	灯	lampe	фонарь	lámpara	0.0	1.9	0.2	1.0	0.5459207459207459
1442	language	nouns	1307	LANGUAGE	656:1	communication	1	1	语言	langage	язык	idioma	0.6363636363636364	3.7	1.2	1.9	1.9564102564102563
1443	laptop	nouns			682:0	notebook	1	1	手提电脑	ordinateur portable	лаптоп	ordenador portátil	4.181818181818182	3.5	5.3	0.4	2.352564102564102
1444	large	adjectives	1202	BIG	1160:0	big	1	3	大规模	grand	крупный	alto	3.8181818181818183	3.8	5.3	2.7	4.31025641025641
1445	large	adjectives	1202	BIG	1220:0	huge	1	3	大规模	grand	большой	grande	3.090909090909091	4.6	4.8	5.0	4.602680652680652
1446	large	adjectives	1202	BIG	1267:0	flexible	1	3	大	grand	крупный	grande	0.2727272727272727	0.3	0.0	0.0	0.1803030303030303
1447	lately	adverbs			1827:0	recently	1	1	最近	dernièrement	недавно	últimamente	5.454545454545454	5.6	3.0	4.9	4.462179487179488
1448	later	adverbs			1781:0	never	1	1	稍后	plus tard	потом	después	0.18181818181818182	2.0	0.0	0.4	0.49335664335664337
1449	laugh	verbs	1355	LAUGH	1657:0 1659:0 1666:1	sing cry giggle	3	3	大笑	rire	смеяться	reír	0.0 0.36363636363636365 3.090909090909091	1.9 1.9 5.3	0.2 0.0 4.3	0.4 0.2 5.7	0.4476107226107227 0.4442890442890443 4.357634032634032
1450	launch	verbs			1755:0	send	1	1	发射	lancer	запускать	lanzar	2.909090909090909	5.0	2.5	2.3	2.0924242424242423
1451	law	nouns	1062	LAW	241:1	school	1	1	法律	droit	юриспруденция	derecho	0.36363636363636365	1.7	0.8	0.8	0.5317599067599068
1452	lawful	adjectives			1099:0	illegal	1	1	合法	légitime	законный	legal	0.18181818181818182	1.3	0.2	0.2	0.37837995337995345
1453	lawyer	nouns			107:0	banker	1	4	律师	avocat	юрист	abogado	0.18181818181818182	1.8	0.8	1.4	0.9706293706293709
1454	lawyer	nouns			281:1	attorney	1	4	律师	juriste	адвокат	licenciado en derecho	3.090909090909091	4.3	1.4	4.7	4.202505827505828
1455	lawyer	nouns			505:1 785:0	prosecutor gallery	2	4	律师	avocat	адвокат	abogado	1.5454545454545454 0.0	3.1 0.1	1.2 0.0	2.5 0.2	2.4901515151515157 0.025000000000000005
1456	lazy	adjectives	1564	LAZY	1125:1 1188:1	busy precious	2	2	懒	paresseux	ленивый	perezoso	0.09090909090909091 0.09090909090909091	0.9 0.2	0.1 0.0	0.3 0.0	0.25606060606060616 0.056818181818181844
1457	leader	nouns			323:0	manager	1	1	领导	chef	глава	líder	2.0	4.6	4.2	3.2	3.233333333333333
1458	leaf	nouns	628	LEAF	175:1 609:1	seedling tree	2	2	叶	feuille	лист	hoja	0.8181818181818182 0.2727272727272727	1.4 2.4	0.9 1.0	1.5 1.3	1.07511655011655 1.1179487179487178
1459	learn	verbs	504	LEARN	1602:0	evaluate	1	6	学习	apprendre	изучать	aprender	0.5454545454545454	1.3	2.2	0.9	0.922902097902098
1460	learn	verbs	504	LEARN	1736:0	confuse	1	6	学习	apprendre	учить	aprender	0.0	1.0	0.0	0.2	0.19999999999999998
1461	learn	verbs	504	LEARN	1346:0 1549:1	educate absorb	2	6	学习	apprendre	учиться	aprender	2.272727272727273 2.909090909090909	4.1 2.6	1.0 0.3	1.7 1.6	2.5656759906759903 1.5621794871794876
1462	learn	verbs	504	LEARN	1454:0 1505:1	listen forget	2	6	学习	apprendre	узнавать	aprender	0.5454545454545454 0.0	2.4 1.5	0.7 0.2	1.0 0.1	0.9231934731934729 0.363986013986014
1463	leave	verbs	1752	LEAVE	1371:1	take	1	13	离开	laisser	оставлять	salir	0.0	1.7	0.1	0.4	0.363986013986014
1464	leave	verbs	1752	LEAVE	1347:1 1463:0 1574:0 1577:1 1682:0	evict go join retreat remain	5	13	离开	partir	покидать	salir	2.3636363636363638 4.090909090909091 0.36363636363636365 3.4545454545454546 0.18181818181818182	2.4 4.5 2.2 4.9 1.7	0.6 1.1 0.0 2.6 0.0	2.6 3.4 0.5 2.9 0.1	1.3274475524475524 2.852505827505828 0.38671328671328675 3.014801864801864 0.42529137529137534
1465	leave	verbs	1752	LEAVE	1306:0 1343:0 1380:0 1519:0 1562:1 1578:0 1679:0	appear wander ignore meet arrive wait enter	7	13	离开	laisser	покидать	salir	0.0 0.09090909090909091 0.36363636363636365 0.36363636363636365 0.2727272727272727 0.36363636363636365 0.36363636363636365	0.2 0.5 4.5 0.7 0.4 1.3 0.4	0.1 0.4 0.5 0.0 0.0 0.2 0.0	0.6 1.3 0.3 1.8 0.4 0.4 0.1	0.28898601398601403 0.6002913752913753 1.2325174825174823 0.30530303030303035 0.27913752913752915 0.2636363636363637 0.2692890442890443
1466	ledge	nouns			314:1	mountain	1	1	窗台	corniche	выступ	repisa	0.0	2.0	1.0	0.4	0.8615384615384616
1467	leg	nouns	1297	LEG	728:0 1025:1	arm limb	2	2	腿	jambe	нога	pierna	0.45454545454545453 2.0	2.9 3.7	0.6 3.0	0.6 3.6	1.1194638694638692 2.709032634032633
1468	legal	adjectives			1142:0 1144:1	allowed safe	2	2	合法	légal	легальный	legal	2.5454545454545454 0.5454545454545454	5.1 2.1	3.0 1.2	4.3 1.4	3.775641025641025 1.2694055944055942
1469	legend	nouns			675:0	moral	1	1	传说	légende	легенда	leyenda	0.0	1.8	0.6	0.6	0.4601398601398601
1470	legion	nouns			640:1	army	1	1	军团	légion	легион	legión	4.454545454545454	3.7	1.8	3.2	3.2143356643356635
1471	lemma	nouns			993:1	syllable	1	1	词元	lemme	лемма	lema	1.0	2.2	0.5	0.6	0.8033216783216783
1472	lemon	nouns	3091	LEMON	355:0 687:1	tea apple	2	2	柠檬	citron	лимон	limón	0.09090909090909091 0.18181818181818182	1.6 2.5	0.9 0.7	0.5 0.5	0.5367132867132869 0.9771561771561772
1473	lend	verbs	582	LEND	1344:1 1440:1	give owe	2	2	借	prêter	одалживать	prestar	2.090909090909091 0.36363636363636365	3.9 1.0	1.7 1.3	2.2 0.5	2.3948135198135194 1.1245920745920746
1474	lens	nouns			727:0	camera	1	1	镜片	lentille	линза	lente	0.45454545454545453	2.5	1.0	2.4	1.4727272727272727
1475	let	verbs	2896	CAUSE TO (LET)	1500:0	allow	1	1	让	laisser	позволять	dejar	3.4545454545454546	4.9	5.0	5.1	3.8220862470862467
1476	letter	nouns	1612	LETTER	943:0	paragraph	1	1	信	lettre	письмо	carta	0.18181818181818182	2.2	0.9	0.8	0.7010489510489512
1477	level	nouns	3469	LEVEL	452:0	score	1	1	水平	niveau	уровень	nivel	0.7272727272727273	2.5	0.0	3.2	1.4072261072261074
1478	liberty	nouns			632:1	freedom	1	2	自由	possibilité	свобода	atrevimiento	4.181818181818182	4.0	6.0	1.0	4.4616550116550115
1479	liberty	nouns			984:0	censorship	1	2	自由	liberté	свобода	libertad	0.09090909090909091	1.8	0.7	0.2	0.41771561771561777
1480	lie	verbs	1411	LIE (REST)	1354:0	pretend	1	3	说谎	mentir	лгать	mentira	2.272727272727273	4.0	3.1	1.2	2.650407925407925
1481	lie	verbs	1411	LIE (REST)	1474:1 1593:1	deny accuse	2	3	说谎	mentir	лгать	mentir	0.6363636363636364 0.2727272727272727	2.5 1.0	1.1 0.2	1.2 0.5	0.9787296037296033 0.35903263403263413
1482	lifestyle	nouns			600:1	civilization	1	1	生活方式	mode de vie	образ жизни	estilo de vida	1.7272727272727273	2.8	0.8	1.1	1.3565850815850817
1483	lift	verbs	501	LIFT	1404:1	haul	1	2	电梯	soulever	поднимать	levantar	1.4545454545454546	2.4	1.1	0.1	1.4667832167832169
1484	lift	verbs	501	LIFT	1619:0	raise	1	2	举起	élever	поднимать	levantar	3.5454545454545454	5.3	2.3	0.9	3.1355477855477853
1485	light	nouns	1052	LIGHT (WEIGHT)	421:1	keyboard	1	1	光	lumière	свет	ligero	0.09090909090909091	0.2	0.0	0.5	0.09772727272727276
1486	lightly	adverbs			1783:1	brightly	1	1	轻轻地	légèrement	слегка	ligeramente	0.0	0.6	0.0	0.0	0.41054778554778526
1487	likely	adverbs			1839:0	possibly	1	1	很可能	probablement	скорее всего	probable	4.2727272727272725	5.1	3.7	4.3	3.453379953379953
1488	limb	nouns	1531	BRANCH	1025:0	leg	1	1	肢体	membre	конечность	miembro	2.0	3.7	3.0	3.6	2.709032634032633
1489	limp	verbs	366	LIMP	1507:0	walk	1	1	跛行	boiter	хромать	cojear	2.5454545454545454	3.3	0.9	0.9	1.715792540792541
1490	linen	nouns	916	LINEN	761:0	fabric	1	1	麻布	lin	лен	lino	3.0	3.3	2.4	2.8	2.471270396270397
1491	lion	nouns	1386	LION	639:1	cat	1	1	狮子	lion	лев	león	0.9090909090909091	2.9	0.6	1.2	1.7262237762237769
1492	lip	nouns	478	LIP	361:1 1033:1	hip mouth	2	2	唇	lèvre	губа	labio	0.0 2.4545454545454546	1.1 4.1	0.6 1.3	0.5 2.3	0.5215617715617715 2.7607808857808855
1493	liquor	nouns	842	LIQUOR	429:0	band	1	3	酒	alcool	спиртное	espíritu	0.0	0.3	0.3	0.5	0.15000000000000002
1494	liquor	nouns	842	LIQUOR	737:0 986:1	century wine	2	3	酒	liqueur	спиртное	espíritu	0.0 4.0	0.1 2.8	0.0 2.5	0.1 0.2	0.032575757575757584 2.499125874125874
1495	list	nouns			1000:1	array	1	1	名单	liste	список	lista	0.5454545454545454	3.1	0.9	0.5	1.327156177156177
1496	listen	verbs	1608	LISTEN	1401:1	understand	1	4	听	écouter	слушать	escucha	1.3636363636363635	2.7	0.6	1.1	1.2101981351981352
1497	listen	verbs	1608	LISTEN	1386:0 1454:1 1455:0	obey learn hear	3	4	听	écouter	слушать	escuchar	2.909090909090909 0.5454545454545454 4.2727272727272725	4.1 2.4 4.7	1.6 0.7 2.9	0.9 1.0 5.1	2.05483682983683 0.9231934731934729 3.7752913752913746
1498	literature	nouns			44:1 989:1	word book	2	2	文学	littérature	литература	literatura	2.0 2.0	2.3 3.2	1.1 2.3	2.4 2.3	1.6467365967365968 2.5032051282051286
1499	live	verbs	1422	BE ALIVE	1359:0	survive	1	1	生活	vivre	жить	vivir	2.4545454545454546	4.4	1.8	2.1	2.6639860139860145
1500	liver	nouns	1224	LIVER	277:1	organ	1	2	肝脏	foie	печень	hígado	2.6363636363636362	3.3	1.9	2.3	2.3368298368298372
1501	liver	nouns	1224	LIVER	466:0	lung	1	2	肝	foie	печень	hígado	0.6363636363636364	2.6	0.8	0.5	1.0061771561771562
1502	lizard	nouns	632	LIZARD	15:0 825:1 897:1	crocodile snake government	3	3	蜥蜴	lézard	ящерица	lagartija	0.45454545454545453 0.9090909090909091 0.0	3.4 3.2 0.0	0.8 1.0 0.0	2.6 1.2 0.0	2.0462121212121214 1.4259906759906764 0.015909090909090918
1503	locally	adverbs			1785:0	closely	1	2	本地	localement	локально	localmente	0.18181818181818182	0.3	0.2	2.0	1.642715617715618
1504	locally	adverbs			1837:1	obviously	1	2	本地	localement	локально	en la zona	0.0	0.3	0.0	0.0	0.06515151515151517
1505	locate	verbs			1469:0	find	1	1	定位	localiser	обнаруживать	localizar	0.8181818181818182	4.8	4.3	5.4	3.2014568764568767
1506	lock	nouns	1596	LOCK	844:1	key	1	1	锁	verrou	замок	candado	0.8181818181818182	2.7	0.9	2.4	1.2335664335664338
1507	lock-up	nouns			767:1	cell	1	1	锁起来	prison	запирание	cárcel	1.0909090909090908	4.0	0.7	0.5	1.862587412587412
1508	log	nouns	1803	WOOD	371:1	formula	1	4	日志	registre	журнал	tronco	0.0	1.8	0.4	0.2	0.5544871794871796
1509	log	nouns	1803	WOOD	883:0	bath	1	4	原木	journal	бревно	tronco	0.0	0.0	0.0	0.0	0.016666666666666666
1510	log	nouns	1803	WOOD	774:0 972:1	timber wood	2	4	原木	rondin	бревно	tronco	4.090909090909091 4.181818181818182	3.8 3.7	3.0 3.3	3.9 3.8	3.2224941724941716 3.516899766899766
1511	logic	nouns	2429	LOGIC	64:1 196:0	intelligence arithmetic	2	2	逻辑	logique	логика	lógica	3.090909090909091 2.090909090909091	3.9 4.0	2.4 1.2	3.4 2.1	2.775116550116549 1.6485431235431234
1512	lonely	adjectives			1208:0	poor	1	1	孤独	solitaire	одинокий	solitario	0.2727272727272727	1.0	0.3	0.3	0.6291375291375291
1513	long	adjectives	1203	LONG	1074:0 1146:1	narrow short	2	2	长	long	длинный	largo	0.2727272727272727 0.18181818181818182	1.7 1.8	0.3 0.1	0.3 0.2	0.6430652680652681 0.3942890442890443
1514	look	verbs	1819	LOOK	1743:1	search	1	1	看	regarder	смотреть	indagar	1.0909090909090908	2.4	1.2	3.9	2.1489510489510484
1515	loop	nouns			736:0	belt	1	1	环	boucle	петля	lazo	3.1818181818181817	2.6	0.9	1.2	1.295571095571095
1516	loose	adjectives	2506	LOOSE	1154:1	flexible	1	1	松动	lâche	свободный	suelto	1.8181818181818181	1.2	0.8	1.3	1.3174242424242424
1517	lose	verbs	3072	MISPLACE	1307:0	fail	1	5	失去	perdre	проигрывать	perder	0.6363636363636364	4.7	1.9	2.5	2.669930069930069
1518	lose	verbs	3072	MISPLACE	1333:1 1425:0	cook subtract	2	5	失去	perdre	потерять	perder	0.0 1.8181818181818181	0.1 2.3	0.0 0.4	0.1 0.4	0.02424242424242425 1.2745337995337993
1519	lose	verbs	3072	MISPLACE	1437:0 1623:0	keep get	2	5	失去	perdre	терять	perder	0.18181818181818182 0.36363636363636365	1.5 1.4	0.1 0.0	0.1 0.2	0.3060606060606061 0.2878787878787879
1520	loud	adjectives	377	LOUD	1291:1	rude	1	1	大声	bruyant	громкий	ruidoso	3.0	1.7	1.3	0.9	1.003146853146853
1521	loudly	adverbs			1888:0	madly	1	3	大声地	fortement	громко	ruidosamente	2.8181818181818183	2.9	0.5	1.1	1.167890442890443
1522	loudly	adverbs			1788:0 1833:0	softly subtly	2	3	大声地	bruyamment	громко	ruidosamente	0.0 0.0	1.1 1.3	0.0 0.0	0.1 0.1	0.19580419580419584 0.1723193473193473
1523	lover	nouns			530:0	companion	1	1	情人	amant	возлюбленный	amante	5.181818181818182	4.3	1.4	1.6	2.940850815850815
1524	lower	verbs			1746:0	reduce	1	1	降低	abaisser	опустить	inferior	3.8181818181818183	4.8	0.4	1.0	3.142365967365967
1525	loyally	adverbs			1768:0	honestly	1	1	忠诚地	loyalement	лояльно	fielmente	4.454545454545454	4.3	0.0	2.6	2.636363636363636
1526	luck	nouns	720	GOOD LUCK	636:1	happiness	1	1	运气	chance	удача	suerte	0.8181818181818182	2.6	3.0	0.7	1.6426573426573425
1527	lucky	adjectives			1238:1	ashamed	1	1	幸运	chanceux	счастливый	suerte	0.09090909090909091	0.8	0.0	0.0	0.11515151515151519
1528	lunch	nouns	768	LUNCH	793:1	sandwich	1	1	午饭	déjeuner	обед	almuerzo	0.18181818181818182	2.8	1.1	1.0	1.280011655011655
1529	lung	nouns	688	LUNG	466:1	liver	1	1	肺	poumon	легкое	pulmón	0.6363636363636364	2.6	0.8	0.5	1.0061771561771562
1530	machine	nouns	144	MACHINE	294:1	computer	1	2	机器	machine	машина	máquina	2.727272727272727	4.6	1.3	3.8	2.798135198135198
1531	machine	nouns	144	MACHINE	348:0	engine	1	2	机器	machine	механизм	máquina	2.4545454545454546	3.5	2.2	2.8	2.883682983682984
1532	mad	adjectives	1899	MAD	1055:1	unhappy	1	4	惱火	furieux	рассерженный	enojado	3.272727272727273	2.4	0.9	2.3	1.6077505827505825
1533	mad	adjectives	1899	MAD	1147:0	glad	1	4	疯狂	fou	рассерженный	enfadado	0.5454545454545454	1.3	0.1	0.2	0.3659090909090909
1534	mad	adjectives	1899	MAD	1196:1	happy	1	4	疯狂	furieux	рассерженный	enfadado	0.9090909090909091	1.3	0.1	0.2	0.5590909090909091
1535	mad	adjectives	1899	MAD	1247:1	terrific	1	4	疯狂	furieux	рассерженный	enojado	0.36363636363636365	1.1	0.5	0.1	0.9803030303030303
1536	madly	adverbs			1880:0 1888:1	sadly loudly	2	2	猛烈地	follement	безумно	locamente	0.18181818181818182 2.8181818181818183	0.7 2.9	0.3 0.5	0.7 1.1	0.40413752913752915 1.167890442890443
1537	magistrate	nouns			199:0	judge	1	1	裁判官	magistrat	магистрат	magistrado	3.5454545454545454	5.1	1.2	3.2	3.3267482517482514
1538	magma	nouns			362:0	volcano	1	1	岩浆	magma	магма	magma	1.5454545454545454	2.5	1.7	2.0	1.913636363636364
1539	magnitude	nouns			12:1	size	1	2	量	magnitude	величина	magnitud	2.272727272727273	4.0	4.7	5.0	4.186130536130536
1540	magnitude	nouns			367:1	depth	1	2	大小	magnitude	величина	magnitud	0.8181818181818182	1.8	1.2	1.1	1.4351398601398602
1541	maid	nouns			829:1	helper	1	2	女仆	servante	служанка	mucama	2.5454545454545454	2.5	3.5	2.5	2.6843240093240084
1542	maid	nouns			893:1	girl	1	2	女佣	bonne	дева	mucama	2.0	1.0	2.7	0.5	1.7244172494172492
1543	mainboard	nouns			217:1	motherboard	1	1	主板	carte graphique	главная плата	placa base	3.272727272727273	3.6	3.6	2.1	3.591025641025641
1544	mainly	adverbs			1779:0	terminally	1	2	主要地	principalement	в основном	principalmente	0.0	0.0	0.3	0.4	0.18065268065268067
1545	mainly	adverbs			1846:1	mostly	1	2	主要	principalement	в основном	principalmente	4.0	5.4	2.6	4.7	3.8988344988345
1546	maize	nouns	506	MAIZE	660:1	corn	1	1	玉米	maïs	маис	maizal	5.909090909090909	3.0	3.5	3.4	3.4597319347319355
1547	make	verbs	734	MAKE	1315:1	destroy	1	5	做	faire	создавать	hacer	0.18181818181818182	1.4	0.1	0.2	0.38595571095571096
1548	make	verbs	734	MAKE	1591:0	earn	1	5	做	faire	добывать	hacer	0.36363636363636365	0.6	3.6	0.5	1.2963286713286712
1549	make	verbs	734	MAKE	1494:0 1497:0 1698:1	construct become create	3	5	做	faire	делать	hacer	2.4545454545454546 2.272727272727273 0.8181818181818182	4.3 1.1 5.2	3.1 0.8 4.2	3.4 0.4 3.6	3.362121212121212 0.8850233100233099 3.715268065268065
1550	maker	nouns			333:1	creator	1	1	制作者	fabricant	изготовитель	fabricante	3.4545454545454546	5.1	4.1	3.7	4.331993006993007
1551	malware	nouns			935:0	worm	1	1	恶意软件	logiciel malveillant	вредоносные программы	código malicioso	0.9090909090909091	5.4	1.0	1.3	1.4370629370629375
1552	man	nouns	1554	MAN	271:0	father	1	9	男子	homme	мужчина	hombre	2.4545454545454546	3.3	1.4	2.0	2.359498834498834
1553	man	nouns	1554	MAN	744:0	child	1	9	人	homme	мужчина	hombre	2.3636363636363638	2.5	0.7	0.8	1.1029720279720279
1554	man	nouns	1554	MAN	73:0 338:0 995:0	sentry victor suspect	3	9	男人	homme	человек	hombre	2.0 0.36363636363636365 0.5454545454545454	2.7 1.3 1.5	1.1 0.9 0.2	0.9 0.7 0.4	1.2474358974358972 0.5285547785547785 0.5302447552447552
